,title,price,link
0,"Acer Aspire Lite 12th Gen Intel Core
                                i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm
                                (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","32,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9hdGY6MzAwMTcxNTI1OTUxMTMyOjowOjo&url=%2FAcer-i3-1215U-Premium-Windows-AL15-52%2Fdp%2FB0CKLN7PSZ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Thin & light, Dual speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","30,990",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_5?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-5
2,"Bestor 4-Port USB 3.0 Hub [90Â°/180Â° Degree Rotatable], USB Splitter with 3 USB Ports & 1 USB C Power/Data Port, USB Extender for Laptop, Car, Mac Pro, iMac, MacBook Air, MacBook Pro, MacBook and More  ",629,https://amazon.in/https://aax-eu.amazon.in/x/c/JM0jjgFa43XnXLJWkjkJ044AAAGRB6I6ZwMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICAnx6Kt/https://www.amazon.in/Bestor-Rotatable-Splitter-Extender-MacBook/dp/B0CZXS8QJL/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da%3Aamzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da&crid=1EK1NGM7OQAYO&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.fBpSjOFj3LAPU5-7xuOfGw.uL_MPbIM5UT83OYQu8G560pET-yb4QvorcBPPqJYFsc&dib_tag=se&keywords=laptop&pd_rd_i=B0CZXS8QJL&pd_rd_r=9a10fb67-39e2-429f-91a8-9c399bf8bbc6&pd_rd_w=lZWOu&pd_rd_wg=nqram&pf_rd_p=3be3fb3e-0f2b-4eeb-88e5-5121210c18da&pf_rd_r=WGYGXNC46GW50AK9BAYP&qid=1722409957&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=l%2Caps%2C368&sr=1-1-7c8005b1-48c1-4d2f-8d94-83bdc3b16b8a
3,"ASUS VivoBook 15 (2021) Thin and Light Laptop, Dual Core Intel Celeron N4020, 15.6-inch (39.62 cm) HD, (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W  ","19,990",https://amazon.in//ASUS-15-6-inch-Integrated-Transparent-X515MA-BR011W/dp/B09SGGB687/ref=sr_1_6?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-6
4,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","23,999",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_7?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-7
5,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 Whr/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_8?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-8
6,"Lenovo V15 G2 Laptop, 15.6"" FHD Display, Free Microsoft Office 2021 with Lifetime License, Dual-core Intel Celeron N4500, 8GB RAM, 256GB SSD, Ethernet, 6.5 Hours Battery Life, Windows 11 , Black  ","24,990",https://amazon.in//Lenovo-Microsoft-Lifetime-Dual-core-Ethernet/dp/B0CR8VHCSV/ref=sr_1_9?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-9
7,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","16,849",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_10?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-10
8,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU  ","52,028",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9hdGY6MzAwMjc0NzI5Njg5NTMyOjowOjo&url=%2FHP-i5-1235U-15-6-inch-graphics-fy5009TU%2Fdp%2FB0D4M66F6R%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
9,"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","54,900",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9tdGY6MzAwMTg5MjkwODYxNjMyOjowOjo&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46QQHW6%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
10,"Lenovo Yoga 9 13th Gen Intel Evo i7 1360P 14""(35.56cm) 4K OLED 2-in-1 400Nits Laptop (16GB/1TB SSD/Win 11/Office 2021/Backlit KB/Pen 2.0/1Yr Warranty/Alexa/3 Month Game Pass/Oatmeal/1.4Kg) 83B1004XIN  ","1,75,690",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9tdGY6MzAwMjUxMjc4Mzc1NDMyOjowOjo&url=%2FLenovo-35-56cm-400Nits-Warranty-83B1002GIN%2Fdp%2FB0BS96MXT3%2Fref%3Dsr_1_12_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
