,title,price,link
11,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, 720p HD camera, Backlit KB, Thin & Light (Win 11, Silver, 1.69 kg), fy5009TU  ","52,028",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-fy5009TU/dp/B0D4M66F6R/ref=sr_1_13?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-13
12,"HP Laptop 15,12th Gen Intel Core i3-1215U,15.6 inch(39.6 cm),FHD,Anti-Glare,8 GB DDR4,512 GB SSD,Windows 11,MSO,Dual Speakers,1.69 kg,Natural Silver,15s-fq5326TU  ","35,990",https://amazon.in//HP-i3-1215U-Anti-Glare-Speakers-15s-fq5326TU/dp/B0CYQ257C1/ref=sr_1_14?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-14
13,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/8 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","32,990",https://amazon.in//Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_15?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-15
14,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  ","52,990",https://amazon.in//HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_16?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-16
15,"Dell [Smartchoice] 15 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/15.6""(39.62cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant KB/Grey/1.48kg  ","37,972",https://amazon.in//Dell-i3-1215U-Graphic-Spill-Resistant-Keyboard/dp/B0BQJ68HHC/ref=sr_1_17?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-17
16,"Acer Aspire Lite AMD Ryzen 5 5500U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG  ","34,990",https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CB7S1RTX/ref=sr_1_18?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-18
17,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","71,990",https://amazon.in//Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_19?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-19
18,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","38,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_20?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-20
19,"(Refurbished) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 10 Pro/MS Office/WiFi/Webcam/Intel Graphics), Black  ","13,500",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR495DW5/ref=sr_1_3?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-3
20,"Dell Alienware m18 R1 Gaming Laptop,Intel Core i9-13900HX/32GB/1TB SSD/NVIDIA RTX 4080 12GB GDDR6/18.0""(45.72cm) QHD 165Hz/Win 11+MSO'21/15 Month McAfee/Backlit KB per-Key AlienFX/Dark Metallic Moon  ","3,67,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9idGY6MzAwMjUwMjY1MDQwNjMyOjowOjo&url=%2FDell-SmartChoice-Alienware-i9-13900HX-processor%2Fdp%2FB0C1Z8DHFD%2Fref%3Dsr_1_21_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
21,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1696IN  ","51,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo5ODE3NDgzNzE0OTM1NDE6MTcyMjQwOTk1NzpzcF9idGY6MzAwMjQ2MDg5NjYxMjMyOjowOjo&url=%2FMSI-i5-12450H-Windows-GeForce-B12UCX-1696IN%2Fdp%2FB0CV9S9VTM%2Fref%3Dsr_1_22_sspa%3Fcrid%3D1EK1NGM7OQAYO%26dib%3DeyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1722409957%26sprefix%3Dl%252Caps%252C368%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
22,"Bestor 4-Port USB 3.0 Hub [90Â°/180Â° Degree Rotatable], USB Splitter with 3 USB Ports & 1 USB C Power/Data Port, USB Extender for Laptop, Car, Mac Pro, iMac, MacBook Air, MacBook Pro, MacBook and More  ",629,https://amazon.in/https://aax-eu.amazon.in/x/c/JEzynm6KJTy7uKGD2GII1fEAAAGRB6I6WgMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICC6qBG3/https://www.amazon.in/Bestor-Rotatable-Splitter-Extender-MacBook/dp/B0CZXS8QJL/ref=sxbs_sbv_search_btf?content-id=amzn1.sym.a2bbbb64-48b4-4667-bc8e-161434209626%3Aamzn1.sym.a2bbbb64-48b4-4667-bc8e-161434209626&crid=1EK1NGM7OQAYO&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.fBpSjOFj3LAPU5-7xuOfGw.uL_MPbIM5UT83OYQu8G560pET-yb4QvorcBPPqJYFsc&dib_tag=se&keywords=laptop&pd_rd_i=B0CZXS8QJL&pd_rd_r=d3058717-295d-4118-b7c2-4fc5a1843f4b&pd_rd_w=3jvsy&pd_rd_wg=Wl7qF&pf_rd_p=a2bbbb64-48b4-4667-bc8e-161434209626&pf_rd_r=WGYGXNC46GW50AK9BAYP&qid=1722409957&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=l%2Caps%2C368&sr=1-1-b76bd6d9-c111-4fc7-b5ef-aec7efc3d41e
23,"HP Laptop 15s, 12th Gen Intel Core i3,
                                15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO
                                2021, Silver, 1.69 kg), fq5007TU / FQ5327TU  ","38,999",https://amazon.in//HP-i3-1215U-15-6-inch-Graphics-Speakers/dp/B0BP2M7CCS/ref=sr_1_4?crid=1EK1NGM7OQAYO&dib=eyJ2IjoiMSJ9.03XISaCg-6Aat-1c6UA-8OhiImYUCogF3vQm85vo8jdmjWiOyvgZ8iHr_OCKJRBZ_0q-HnFpsjqs-5WZypKGwy1MSDpVY85ikm_UOBcm-O1voTzEY5h_y5zsN5BRYFFVk4NGaBVVH8GJBEBc7VzH7J5XhojVLaYuLdjEgFAsDBCkSahWr5AbSBSqvv5zgmc9kQbjdPQWTnIi9VuHufZryYMc4S-tyS5IsW8mtIqNLuA.OfVlVD4OBYjPjqwpHO6RzYq61lsKCMc0yFHRu7oxebw&dib_tag=se&keywords=laptop&qid=1722409957&sprefix=l%2Caps%2C368&sr=8-4
